시설종류,대상시설명,소재지도로명주소,소재지지번주소,위도,경도,관리기관명,관할경찰서명,CCTV설치여부,CCTV설치대수,보호구역도로폭,데이터기준일자
어린이집,광주YWCA 어린이집,광주광역시 서구 쌍촌로43번길 1,,35.1485872,126.8645648,광주광역시 서구청,광주서부경찰서,N,0,6,2024-07-24
어린이집,그루터기 어린이집,광주광역시 서구 대남대로487번길 11,,35.15206495,126.8843500065,광주광역시 서구청,광주서부경찰서,N,0,5,2024-07-24
어린이집,꿈동산 어린이집,광주광역시 서구 화정로39번길 25,,35.1469063,126.861758,광주광역시 서구청,광주서부경찰서,N,0,6,2024-07-24
어린이집,늘푸른 어린이집,광주광역시 서구 화정로49번길 21,,35.14659001,126.8624772,광주광역시 서구청,광주서부경찰서,N,0,8,2024-07-24
어린이집,도날드 어린이집,광주광역시 서구 유림로51번길 14,,35.167149,126.862122,광주광역시 서구청,광주서부경찰서,N,0,6,2024-07-24
어린이집,도화그림샘어린이집,광주광역시 서구 화개1로78번길 10,,35.13095322,126.8565587,광주광역시 서구청,광주서부경찰서,N,0,12,2024-07-24
어린이집,레터사운드어린이집,광주광역시 서구 화개1로 45,,35.12800363,126.8549393,광주광역시 서구청,광주서부경찰서,N,0,10,2024-07-24
어린이집,월드비전 어린이집,광주광역시 서구 천변좌하로 594,,35.16863998,126.8754656,광주광역시 서구청,광주서부경찰서,N,0,6,2024-07-24
어린이집,문정 어린이집,광주광역시 서구 백석길 16,,35.1423725,126.8510871,광주광역시 서구청,광주서부경찰서,N,0,15,2024-07-24
어린이집,삼삼 어린이집,광주광역시 서구 칠성로35번길 18-1,,35.16706011,126.8595891,광주광역시 서구청,광주서부경찰서,N,0,6,2024-07-24
어린이집,상록 어린이집,광주광역시 서구 내방로408번길 33,,35.15656491,126.8873335,광주광역시 서구청,광주서부경찰서,N,0,6,2024-07-24
어린이집,서구 중앙어린이집,광주광역시 서구 화정로138번길 4-8,,35.14496047,126.8719363,광주광역시 서구청,광주서부경찰서,Y,2,6,2024-07-24
어린이집,솔우어린이집(EQ유아스쿨),광주광역시 서구 화운로23번길 12-14,,35.142838,126.8832647,광주광역시 서구청,광주서부경찰서,N,0,6,2024-07-24
어린이집,신영 어린이집,광주광역시 서구 염화로 56,,35.13936391,126.8735821,광주광역시 서구청,광주서부경찰서,N,0,20,2024-07-24
어린이집,아름어린이집,광주광역시 서구 천변좌하로660번길 2-9,,35.16842833,126.8819835,광주광역시 서구청,광주서부경찰서,N,0,6,2024-07-24
어린이집,아마란스 어린이집,광주광역시 서구 월드컵4강로197번길 7,,35.153573,126.868523,광주광역시 서구청,광주서부경찰서,Y,1,8,2024-07-24
어린이집,아이월드어린이집(남양),광주광역시 서구 풍암순환로 68,,35.12128152,126.8786308,광주광역시 서구청,광주서부경찰서,N,0,10,2024-07-24
어린이집,양3동 어린이집,광주광역시 서구 발산로 33-1,,35.158103,126.8941788,광주광역시 서구청,광주서부경찰서,Y,2,15,2024-07-24
어린이집,예담 어린이집,광주광역시 서구 금호운천길 15,,35.136358,126.8569531,광주광역시 서구청,광주서부경찰서,N,0,10,2024-07-24
어린이집,예지어린이집(우정동산),광주광역시 서구 월드컵4강로28번길 43-7,,35.1410938,126.880855,광주광역시 서구청,광주서부경찰서,N,0,3,2024-07-24
어린이집,우정 어린이집,광주광역시 서구 화정로179번길 45-15,,35.149866,126.8760862,광주광역시 서구청,광주서부경찰서,Y,2,15,2024-07-24
어린이집,유덕어린이집,광주광역시 서구 유덕로 22,,35.16503794,126.8520449,광주광역시 서구청,광주서부경찰서,Y,2,8,2024-07-24
어린이집,유일어린이집,광주광역시 서구 상무대로935번길 11-1,,35.15254221,126.8639499,광주광역시 서구청,광주서부경찰서,N,0,8,2024-07-24
어린이집,참샘 어린이집,광주광역시 서구 내방로240번길 13,,35.157147,126.867322,광주광역시 서구청,광주서부경찰서,N,0,8,2024-07-24
어린이집,하버드 어린이집(화개),광주광역시 서구 화개중앙로86번길 3,,35.126673,126.853405,광주광역시 서구청,광주서부경찰서,N,0,8,2024-07-24
어린이집,해달 어린이집(유치원),광주광역시 서구 상무자유로 25,,35.1526371,126.8368978,광주광역시 서구청,광주서부경찰서,N,0,15,2024-07-24
어린이집,화정 어린이집,광주광역시 서구 염화로160번길 8,,35.142848,126.8820884,광주광역시 서구청,광주서부경찰서,N,0,8,2024-07-24
유치원,빛고을유치원,광주광역시 서구 하남대로680번길 27,,35.16908898,126.8675217,광주광역시 서구청,광주서부경찰서,Y,2,15,2024-07-24
유치원,성균관유치원,광주광역시 서구 금화로73번길 22,,35.1342546,126.857425,광주광역시 서구청,광주서부경찰서,N,0,6,2024-07-24
유치원,세운그림유치원,광주광역시 서구 풍금로38번길 4-11,,35.12328745,126.8640579,광주광역시 서구청,광주서부경찰서,Y,1,6,2024-07-24
유치원,아이숲유치원,광주광역시 서구 백석길 38,,35.142283,126.853158,광주광역시 서구청,광주서부경찰서,N,0,7.6,2024-07-24
유치원,아이위드유치원,광주광역시 서구 금호심곡길 5,,35.134961,126.855352,광주광역시 서구청,광주서부경찰서,N,0,7,2024-07-24
유치원,예닮몬테소리유치원,광주광역시 서구 풍암중앙로91번길 14,,35.1277694,126.8836349,광주광역시 서구청,광주서부경찰서,Y,2,8,2024-07-24
유치원,워싱턴유치원,광주광역시 서구 칠성로 21-1,,35.16667895,126.8600035,광주광역시 서구청,광주서부경찰서,Y,2,6,2024-07-24
유치원,창의유치원,광주광역시 서구 치평로 112,,35.1572853,126.8476752,광주광역시 서구청,광주서부경찰서,N,0,20,2024-07-24
유치원,큰별 유치원,광주광역시 서구 염화로104번길 25,,35.14061268,126.8770065,광주광역시 서구청,광주서부경찰서,Y,2,6,2024-07-24
유치원,펀키즈유치원,광주광역시 서구 금호운천길 58-10,,35.14043999,126.8572853,광주광역시 서구청,광주서부경찰서,Y,2,6,2024-07-24
유치원,삼성리나유치원,광주광역시 서구 화개중앙로 117,,35.12870394,126.851543,광주광역시 서구청,광주서부경찰서,N,0,14,2024-07-24
유치원,현대리나유치원,광주광역시 서구 칠성로69번길 12,,35.16727488,126.8650408,광주광역시 서구청,광주서부경찰서,Y,1,8,2024-07-24
유치원,홉스쿨 유치원,광주광역시 서구 금화로 41,,35.13225242,126.8534679,광주광역시 서구청,광주서부경찰서,N,0,10,2024-07-24
초등학교,계수초교,광주광역시 서구 상무시민로 51,,35.15623703,126.8445206,광주광역시 서구청,광주서부경찰서,Y,3,35,2024-07-24
초등학교,광림초교,광주광역시 서구 하남대로710번길 19,,35.16944947,126.8708974,광주광역시 서구청,광주서부경찰서,Y,1,25,2024-07-24
초등학교,광주서초교,광주광역시 서구 화운로194번길 6,,35.15604003,126.8770209,광주광역시 서구청,광주서부경찰서,Y,1,8,2024-07-24
초등학교,광천초교,광주광역시 서구 월산로 266,,35.15965951,126.8888574,광주광역시 서구청,광주서부경찰서,Y,1,6,2024-07-24
초등학교,극락초교,광주광역시 서구 칠성로4번길 7,,35.16596246,126.8583767,광주광역시 서구청,광주서부경찰서,Y,2,6,2024-07-24
초등학교,금당초교,광주광역시 서구 풍암중앙로 83,,35.12699909,126.8829757,광주광역시 서구청,광주서부경찰서,Y,3,6,2024-07-24
초등학교,금부초교,광주광역시 서구 금화로115번길 22,,35.13530814,126.861363,광주광역시 서구청,광주서부경찰서,Y,2,15,2024-07-24
초등학교,금호초교,광주광역시 서구 금부로95번길 26-11,,35.14272415,126.859228,광주광역시 서구청,광주서부경찰서,Y,2,10,2024-07-24
초등학교,마재초교,광주광역시 서구 마재로 27,,35.13093467,126.8629839,광주광역시 서구청,광주서부경찰서,Y,2,15,2024-07-24
초등학교,만호초교,광주광역시 서구 금화로 53,,35.1327921,126.8542382,광주광역시 서구청,광주서부경찰서,Y,1,12,2024-07-24
초등학교,빛고을초교,광주광역시 서구 동천로 7,,35.16934636,126.8592488,광주광역시 서구청,광주서부경찰서,Y,2,15,2024-07-24
초등학교,살레시오초교,광주광역시 서구 전평길 40,,35.1180613,126.8488847,광주광역시 서구청,광주서부경찰서,Y,1,10,2024-07-24
초등학교,상무초교,광주광역시 서구 금호운천길 67,,35.1408321,126.8547174,광주광역시 서구청,광주서부경찰서,Y,2,10,2024-07-24
초등학교,서광초교,광주광역시 서구 상무오월로38번길 36,,35.15481887,126.864517,광주광역시 서구청,광주서부경찰서,Y,2,6,2024-07-24
초등학교,성진초교,광주광역시 서구 학생독립로 16,,35.14376463,126.8662688,광주광역시 서구청,광주서부경찰서,Y,2,6,2024-07-24
초등학교,송학초교,광주광역시 서구 눌재로 408,,35.11304639,126.8303557,광주광역시 서구청,광주서부경찰서,Y,1,10,2024-07-24
초등학교,신암초교,광주광역시 서구 풍암2로 56,,35.12295313,126.8809278,광주광역시 서구청,광주서부경찰서,Y,2,15,2024-07-24
초등학교,양동초교,광주광역시 서구 경열로121번길 5,,35.154427,126.8989117,광주광역시 서구청,광주서부경찰서,Y,2,6,2024-07-24
초등학교,염주초교,광주광역시 서구 염화로134번길 28,,35.141088,126.8787902,광주광역시 서구청,광주서부경찰서,Y,1,8,2024-07-24
초등학교,운리초교,광주광역시 서구 풍암운리로23번길 5,,35.12368494,126.865659,광주광역시 서구청,광주서부경찰서,Y,2,6,2024-07-24
초등학교,운천초교,광주광역시 서구 치평로 59,,35.1527359,126.8467487,광주광역시 서구청,광주서부경찰서,Y,2,20,2024-07-24
초등학교,월광기독학교,광주광역시 서구 염화로 23-20,,35.13591014,126.8719124,광주광역시 서구청,광주서부경찰서,N,0,15,2024-07-24
초등학교,유덕초교,광주광역시 서구 상무버들로16번길 6-10,,35.16508164,126.8628256,광주광역시 서구청,광주서부경찰서,Y,2,6,2024-07-24
초등학교,유촌초교,광주광역시 서구 내방로 153,,35.15914149,126.857958,광주광역시 서구청,광주서부경찰서,Y,2,6,2024-07-24
초등학교,주월초교,광주광역시 서구 화운로 36,,35.14470394,126.8837449,광주광역시 서구청,광주서부경찰서,Y,1,8,2024-07-24
초등학교,치평초교,광주광역시 서구 마재로 27,,35.13093467,126.8629839,광주광역시 서구청,광주서부경찰서,Y,1,25,2024-07-24
초등학교,풍암초교,광주광역시 서구 풍암중앙로 8,,35.12378279,126.8756762,광주광역시 서구청,광주서부경찰서,Y,2,6,2024-07-24
초등학교,화개초교,광주광역시 서구 화개중앙로 48,,35.12519508,126.8569901,광주광역시 서구청,광주서부경찰서,Y,2,20,2024-07-24
초등학교,화정남초교,광주광역시 서구 염화로 37,,35.13785579,126.8716276,광주광역시 서구청,광주서부경찰서,Y,2,15,2024-07-24
초등학교,화정초교,광주광역시 서구 월드컵4강로146번길 10,,35.14905523,126.8713994,광주광역시 서구청,광주서부경찰서,Y,3,6,2024-07-24
초등학교,효광초교,광주광역시 서구 천변좌하로626번길 23-1,,35.16727499,126.8789706,광주광역시 서구청,광주서부경찰서,Y,1,6,2024-07-24
특수학교,세광학교,광주광역시 서구 유덕로 177,,35.16844826,126.8360321,광주광역시 서구청,광주서부경찰서,Y,1,8,2024-07-24
